0	0	0	0	0
1	0,0999999833	0,1499999438	1	1
2	0,1999998667	0,29999955	4	1,4142135624
3	0,29999955	0,4499984813	9	1,7320508076
4	0,3999989333	0,5999964	16	2
5	0,4999979167	0,7499929688	25	2,2360679775
6	0,5999964	0,89998785	36	2,4494897428
7	0,6999942833	1,0499807064	49	2,6457513111
8	0,7999914667	1,1999712002	64	2,8284271247
9	0,89998785	1,3499589941	81	3
10	0,9999833334	1,4999437506	100	3,1622776602
11	1,0999778168	1,6499251323	121	3,3166247904
12	1,1999712002	1,7999028016	144	3,4641016151
13	1,2999633836	1,9498764211	169	3,6055512755
14	1,3999542671	2,0998456534	196	3,7416573868
15	1,4999437506	2,2498101611	225	3,8729833462
16	1,5999317342	2,3997696066	256	4
17	1,6999181178	2,5497236527	289	4,1231056256
18	1,7999028016	2,699671962	324	4,2426406871
19	1,8998856854	2,8496141969	361	4,3588989435
20	1,9998666693	2,9995500202	400	4,472135955
21	2,0998456534	3,1494790946	441	4,582575695
22	2,1998225376	3,2994010826	484	4,6904157598
23	2,299797222	3,449315647	529	4,7958315233
24	2,3997696066	3,5992224504	576	4,8989794856
25	2,4997395915	3,7491211555	625	5
26	2,5997070766	3,8990114252	676	5,0990195136
27	2,699671962	4,048892922	729	5,1961524227
28	2,7996341477	4,1987653089	784	5,2915026221
29	2,8995935338	4,3486282485	841	5,3851648071
30	2,9995500202	4,4984814038	900	5,4772255751
31	3,0995035072	4,6483244374	961	5,5677643628
32	3,1994538946	4,7981570123	1024	5,6568542495
33	3,2994010826	4,9479787914	1089	5,7445626465
34	3,3993449712	5,0977894375	1156	5,8309518948
35	3,4992854604	5,2475886136	1225	5,9160797831
36	3,5992224504	5,3973759826	1296	6
37	3,6991558411	5,5471512075	1369	6,0827625303
38	3,7990855327	5,6969139514	1444	6,164414003
39	3,8990114252	5,8466638772	1521	6,2449979984
40	3,9989334187	5,9964006479	1600	6,3245553203
41	4,0988514132	6,1461239268	1681	6,4031242374
42	4,1987653089	6,295833377	1764	6,4807406984
43	4,2986750058	6,4455286614	1849	6,5574385243
44	4,3985804041	6,5952094435	1936	6,6332495807
45	4,4984814038	6,7448753863	2025	6,7082039325
46	4,598377905	6,8945261532	2116	6,7823299831
47	4,6982698078	7,0441614074	2209	6,8556546004
48	4,7981570123	7,1937808122	2304	6,9282032303
49	4,8980394187	7,3433840311	2401	7
50	4,9979169271	7,4929707273	2500	7,0710678119
51	5,0977894375	7,6425405643	2601	7,1414284285
52	5,1976568501	7,7920932056	2704	7,2111025509
53	5,2975190651	7,9416283147	2809	7,2801098893
54	5,3973759826	8,0911455552	2916	7,3484692283
55	5,4972275027	8,2406445906	3025	7,4161984871
56	5,5970735256	8,3901250845	3136	7,4833147735
57	5,6969139514	8,5395867007	3249	7,5498344353
58	5,7967486803	8,6890291028	3364	7,6157731059
59	5,8965776124	8,8384519545	3481	7,6811457479
